['TEST', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:TESTC, line2:, line3:, line4:}']
['000615', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:63A, line2:10M, line3:, line4:}']
['000612', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:32A ADAPTER, line2:32A1PH TO 63A1PH, line3:, line4:}']
['000614', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:, line2:, line3:, line4:}']
['000614', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:63A, line2:2M, line3:, line4:}']
['000606', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:, line2:, line3:, line4:}']
['000606', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:DISTRO, line2:63A1PH TO 1X32A1PH, line3:, line4:}']
['000616', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:, line2:, line3:, line4:}']
['000616', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:32A, line2:10M, line3:, line4:}']
['000617', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:, line2:, line3:, line4:}']
['000617', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:, line2:, line3:, line4:}']
['000617', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:32A, line2:20M, line3:, line4:}']
